"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"92 years"	"92"	31	Not Applicable	Not Applicable
	"2001"	"2001"	"93 years"	"93"	25	Not Applicable	Not Applicable
	"2001"	"2001"	"94 years"	"94"	19	Not Applicable	Not Applicable
	"2001"	"2001"	"95 years"	"95"	9	Not Applicable	Not Applicable
	"2001"	"2001"	"96 years"	"96"	3	Not Applicable	Not Applicable
	"2001"	"2001"	"97 years"	"97"	9	Not Applicable	Not Applicable
	"2001"	"2001"	"98 years"	"98"	3	Not Applicable	Not Applicable
	"2001"	"2001"	"99 years"	"99"	1	Not Applicable	Not Applicable
	"2001"	"2001"	"100+ years"	"100"	3	Not Applicable	Not Applicable
	"2001"	"2001"	"Not Stated"	"NS"	4	Not Applicable	Not Applicable
	"2002"	"2002"	"< 1 year"	"0"	0	2254013	Unreliable
	"2002"	"2002"	"1 year"	"1"	0	2304023	Unreliable
	"2002"	"2002"	"2 years"	"2"	0	2261710	Unreliable
	"2002"	"2002"	"3 years"	"3"	0	2267146	Unreliable
	"2002"	"2002"	"4 years"	"4"	0	2273705	Unreliable
	"2002"	"2002"	"5 years"	"5"	0	2298737	Unreliable
	"2002"	"2002"	"6 years"	"6"	0	2355765	Unreliable
	"2002"	"2002"	"7 years"	"7"	0	2400033	Unreliable
	"2002"	"2002"	"8 years"	"8"	0	2424670	Unreliable
	"2002"	"2002"	"9 years"	"9"	1	2491890	Unreliable
	"2002"	"2002"	"10 years"	"10"	10	2583607	Unreliable
	"2002"	"2002"	"11 years"	"11"	14	2642598	Unreliable
	"2002"	"2002"	"12 years"	"12"	31	2719250	1.1
	"2002"	"2002"	"13 years"	"13"	48	2643547	1.8
	"2002"	"2002"	"14 years"	"14"	73	2611799	2.8
	"2002"	"2002"	"15 years"	"15"	126	2606693	4.8
	"2002"	"2002"	"16 years"	"16"	193	2631128	7.3
	"2002"	"2002"	"17 years"	"17"	226	2644616	8.5
	"2002"	"2002"	"18 years"	"18"	260	2578383	10.1
	"2002"	"2002"	"19 years"	"19"	319	2602142	12.3
	"2002"	"2002"	"20 years"	"20"	346	2584281	13.4
	"2002"	"2002"	"21 years"	"21"	362	2598578	13.9
	"2002"	"2002"	"22 years"	"22"	358	2551537	14.0
	"2002"	"2002"	"23 years"	"23"	365	2414963	15.1
	"2002"	"2002"	"24 years"	"24"	396	2330325	17.0
	"2002"	"2002"	"25 years"	"25"	339	2289512	14.8
	"2002"	"2002"	"26 years"	"26"	319	2205662	14.5
	"2002"	"2002"	"27 years"	"27"	340	2296089	14.8
	"2002"	"2002"	"28 years"	"28"	393	2232521	17.6
	"2002"	"2002"	"29 years"	"29"	380	2292581	16.6
	"2002"	"2002"	"30 years"	"30"	383	2486536	15.4
	"2002"	"2002"	"31 years"	"31"	448	2696828	16.6
	"2002"	"2002"	"32 years"	"32"	362	2793928	13.0
	"2002"	"2002"	"33 years"	"33"	445	2669768	16.7
	"2002"	"2002"	"34 years"	"34"	400	2618073	15.3
	"2002"	"2002"	"35 years"	"35"	432	2676949	16.1
	"2002"	"2002"	"36 years"	"36"	463	2762759	16.8
	"2002"	"2002"	"37 years"	"37"	520	3001139	17.3
	"2002"	"2002"	"38 years"	"38"	556	3107292	17.9
	"2002"	"2002"	"39 years"	"39"	599	3142449	19.1
	"2002"	"2002"	"40 years"	"40"	627	3194291	19.6
	"2002"	"2002"	"41 years"	"41"	659	3276766	20.1
	"2002"	"2002"	"42 years"	"42"	626	3322017	18.8
	"2002"	"2002"	"43 years"	"43"	648	3244169	20.0
	"2002"	"2002"	"44 years"	"44"	665	3275799	20.3
	"2002"	"2002"	"45 years"	"45"	639	3256317	19.6
	"2002"	"2002"	"46 years"	"46"	636	3146325	20.2
	"2002"	"2002"	"47 years"	"47"	616	3180255	19.4
	"2002"	"2002"	"48 years"	"48"	600	3079461	19.5
	"2002"	"2002"	"49 years"	"49"	593	3008351	19.7
	"2002"	"2002"	"50 years"	"50"	570	2925363	19.5
	"2002"	"2002"	"51 years"	"51"	540	2857824	18.9
	"2002"	"2002"	"52 years"	"52"	468	2836582	16.5
	"2002"	"2002"	"53 years"	"53"	451	2785118	16.2
	"2002"	"2002"	"54 years"	"54"	490	2804956	17.5
	"2002"	"2002"	"55 years"	"55"	453	3011801	15.0
	"2002"	"2002"	"56 years"	"56"	412	2189739	18.8
	"2002"	"2002"	"57 years"	"57"	366	2193376	16.7
	"2002"	"2002"	"58 years"	"58"	339	2193604	15.5
	"2002"	"2002"	"59 years"	"59"	395	2303130	17.2
	"2002"	"2002"	"60 years"	"60"	292	2011429	14.5
	"2002"	"2002"	"61 years"	"61"	269	1864651	14.4
	"2002"	"2002"	"62 years"	"62"	267	1800999	14.8
	"2002"	"2002"	"63 years"	"63"	250	1734485	14.4
	"2002"	"2002"	"64 years"	"64"	211	1699764	12.4
	"2002"	"2002"	"65 years"	"65"	238	1603257	14.8
	"2002"	"2002"	"66 years"	"66"	197	1575547	12.5
	"2002"	"2002"	"67 years"	"67"	218	1578573	13.8
	"2002"	"2002"	"68 years"	"68"	211	1453793	14.5
	"2002"	"2002"	"69 years"	"69"	210	1463644	14.3
	"2002"	"2002"	"70 years"	"70"	232	1457674	15.9
	"2002"	"2002"	"71 years"	"71"	224	1460404	15.3
	"2002"	"2002"	"72 years"	"72"	249	1470899	16.9
	"2002"	"2002"	"73 years"	"73"	232	1402147	16.5
	"2002"	"2002"	"74 years"	"74"	217	1398022	15.5
	"2002"	"2002"	"75 years"	"75"	226	1357869	16.6
	"2002"	"2002"	"76 years"	"76"	253	1304602	19.4
	"2002"	"2002"	"77 years"	"77"	217	1285527	16.9
	"2002"	"2002"	"78 years"	"78"	216	1221512	17.7
	"2002"	"2002"	"79 years"	"79"	219	1140078	19.2
	"2002"	"2002"	"80 years"	"80"	231	1090683	21.2
	"2002"	"2002"	"81 years"	"81"	199	1021895	19.5
	"2002"	"2002"	"82 years"	"82"	217	924477	23.5
	"2002"	"2002"	"83 years"	"83"	159	798140	19.9
	"2002"	"2002"	"84 years"	"84"	168	742995	22.6
	"2002"	"2002"	"85 years"	"85"	123	Not Applicable	Not Applicable
	"2002"	"2002"	"86 years"	"86"	125	Not Applicable	Not Applicable
	"2002"	"2002"	"87 years"	"87"	104	Not Applicable	Not Applicable
	"2002"	"2002"	"88 years"	"88"	90	Not Applicable	Not Applicable
	"2002"	"2002"	"89 years"	"89"	91	Not Applicable	Not Applicable
	"2002"	"2002"	"90 years"	"90"	63	Not Applicable	Not Applicable
	"2002"	"2002"	"91 years"	"91"	49	Not Applicable	Not Applicable
	"2002"	"2002"	"92 years"	"92"	35	Not Applicable	Not Applicable
	"2002"	"2002"	"93 years"	"93"	28	Not Applicable	Not Applicable
	"2002"	"2002"	"94 years"	"94"	22	Not Applicable	Not Applicable
	"2002"	"2002"	"95 years"	"95"	12	Not Applicable	Not Applicable
	"2002"	"2002"	"96 years"	"96"	9	Not Applicable	Not Applicable
	"2002"	"2002"	"97 years"	"97"	7	Not Applicable	Not Applicable
